identifier,pm_id,pmc_id,doi,title,abstract,keywords,authors,journal,article_type,year,project_serial_num,project_num,dbgap_accession,research_initiative,sub_project,likert_score,explanation_DeepSeek-R1-Distill-Qwen-32B,explanation_Llama-3.3-70B-Instruct
36184474_phs002563.v1.p1,36184474,PMC9436869,doi:10.1053/j.jvca.2022.08.024,Correlations of Before and After Event Echocardiographic Parameters with Troponin and BNP in Hospitalized COVID-19 Patients With Cardiovascular Events.,,"Biomarkers|COVID-19|Cardiovascular Diseases|Echocardiography|Humans|Natriuretic Peptide, Brain|Troponin","Furmanek, Stephen|Salunkhe, Vidyulata|Pahwa, Siddharth|Samanapally, Harideep|Nathala, Pavani|Xu, Qian|Ali, Tshura|Deepti, Fnu|Glynn, Alex|McGuffin, Trevor|Titus, Derek|Farah, Ian|Jones, Christopher M|Ramirez, Julio A|Clifford, Sean P|Arnold, Forest W|Kong, Maiying|Roser, Lynn|Huang, Jiapeng|",Journal of cardiothoracic and vascular anesthesia,"Letter|Research Support, N.I.H., Extramural",2022,TR003787,1U18TR003787-01,phs002563.v1.p1,RADx-rad,SCENT,1.5,"The publication abstract discusses echocardiographic parameters and biomarkers in COVID-19 patients with cardiovascular events, which is unrelated to the development of a portable breath analysis device for COVID-19 screening as described in the funding opportunity and grant abstract.","The publication abstract does not directly relate to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on developing novel biosensing technologies for detecting COVID-19 through volatile organic compounds (VOCs) in breath or skin, while the publication abstract discusses correlations between echocardiographic parameters, troponin, and BNP in hospitalized COVID-19 patients with cardiovascular events. The publication abstract does not mention VOCs, breath analysis, or biosensing technologies, indicating a lack of relevance to the specific research objectives outlined in the funding opportunity and grant abstract."
36246576_phs002525.v1.p1,36246576,PMC9540688,doi:10.1016/j.isci.2022.105310,Host transcriptional responses in nasal swabs identify potential SARS-CoV-2 infection in PCR negative patients.,"We analyzed RNA sequencing data from nasal swabs used for SARS-CoV-2 testing. 13% of 317 PCR-negative samples contained over 100 reads aligned to multiple regions of the SARS-CoV-2 genome. Differential gene expression analysis compares the host gene expression in potential false-negative (FN: PCR negative, sequencing positive) samples to subjects with multiple SARS-CoV-2 viral loads. The host transcriptional response in FN samples was distinct from true negative samples (PCR & sequencing negative) and similar to low viral load samples. Gene Ontology analysis shows viral load-dependent changes in gene expression are functionally distinct; 23 common pathways include responses to viral infections and associated immune responses. GO analysis reveals FN samples had a high overlap with high viral load samples. Deconvolution of RNA-seq data shows similar cell content across viral loads. Hence, transcriptome analysis of nasal swabs provides an additional level of identifying SARS-CoV-2 infection.",Biological sciences|Immunology|Transcriptomics|Virology,"Saravia-Butler, Amanda M|Schisler, Jonathan C|Taylor, Deanne|Beheshti, Afshin|Butler, Dan|Meydan, Cem|Foox, Jonathon|Hernandez, Kyle|Mozsary, Chris|Mason, Christopher E|Meller, Robert",iScience,Journal Article,2022,DA053941,1U01DA053941-01,phs002525.v1.p1,RADx-rad,Wastewater,2.5,"The publication abstract discusses the use of RNA sequencing to identify potential SARS-CoV-2 infections in PCR-negative patients through host transcriptional responses. While this is related to COVID-19 detection, it does not directly address the objectives of the funding opportunity, which focuses on wastewater-based testing (WBT) surveillance. The grant abstract emphasizes the development and implementation of WBT infrastructure, data standardization, and integration with human health surveillance. The publication's focus on nasal swab analysis and host gene expression does not align with the WBT methods and aims outlined in the funding opportunity and grant abstract.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on wastewater-based testing for SARS-CoV-2, while the publication abstract discusses host transcriptional responses in nasal swabs to identify potential SARS-CoV-2 infection in PCR-negative patients. Although both are related to COVID-19 research, they address different aspects of the disease and do not share a common research objective."
36267121_phs002523.v1.p1,36267121,PMC9566305,doi:10.1093/jamiaopen/ooac080,Performance effectiveness of vital parameter combinations for early warning of sepsis-an exhaustive study using machine learning.,"To carry out exhaustive data-driven computations for the performance of noninvasive vital signs heart rate (HR), respiratory rate (RR), peripheral oxygen saturation (SpO<sub>2</sub>), and temperature (Temp), considered both independently and in all possible combinations, for early detection of sepsis. By extracting features interpretable by clinicians, we applied Gradient Boosted Decision Tree machine learning on a dataset of 2630 patients to build 240 models. Validation was performed on a geographically distinct dataset. Relative to onset, predictions were clocked as per 16 pairs of monitoring intervals and prediction times, and the outcomes were ranked. The combination of HR and Temp was found to be a minimal feature set yielding maximal predictability with area under receiver operating curve 0.94, sensitivity of 0.85, and specificity of 0.90. Whereas HR and RR each directly enhance prediction, the effects of SpO<sub>2</sub> and Temp are significant only when combined with HR or RR. In benchmarking relative to standard methods Systemic Inflammatory Response Syndrome (SIRS), National Early Warning Score (NEWS), and quick-Sequential Organ Failure Assessment (qSOFA), Vital-SEP outperformed all 3 of them. It can be concluded that using intensive care unit data even 2 vital signs are adequate to predict sepsis upto 6 h in advance with promising accuracy comparable to standard scoring methods and other sepsis predictive tools reported in literature. Vital-SEP can be used for fast-track prediction especially in limited resource hospital settings where laboratory based hematologic or biochemical assays may be unavailable, inaccurate, or entail clinically inordinate delays. A prospective study is essential to determine the clinical impact of the proposed sepsis prediction model and evaluate other outcomes such as mortality and duration of hospital stay.",XGBoost|machine learning|sepsis prediction|vitals parameters,"Rangan, Ekanath Srihari|Pathinarupothi, Rahul Krishnan|Anand, Kanwaljeet J S|Snyder, Michael P",JAMIA open,Journal Article,2022,NR020105,1R01NR020105-01,phs002523.v1.p1,RADx-rad,Multimodal Surveillance,2.5,"The publication abstract discusses the use of machine learning to predict sepsis using vital signs, which is related to the broader goal of developing surveillance systems for infectious diseases. However, the specific focus on sepsis and the methods described do not directly align with the grant's objectives of developing COVID-19 surveillance methods for high-density settings. While both aim to improve early detection, the publication's application is more general and not tailored to the specific technologies or populations targeted in the grant.","The publication abstract is related to the early detection of sepsis using machine learning and vital parameter combinations, whereas the funding opportunity and grant abstract focus on the development and validation of COVID-19 surveillance methods, particularly in high-density settings such as residential care institutions. Although both topics involve the use of digital technologies for health monitoring, they address different health concerns and are not directly related. The publication abstract does not explicitly mention COVID-19 or the RADx-rad initiative, and its focus on sepsis detection does not align with the specific research objectives outlined in the funding opportunity and grant abstract."
36287087_phs002527.v1.p1,36287087,PMC9671028,doi:10.1128/mra.00680-22,"Complete Coding Sequences of Rhinovirus Types A46, A39, C56, and C48.","We report the coding-complete sequences of rhinovirus types C48, A46, A39, and C56, determined from nasopharyngeal swabs from three individuals with influenza-like symptoms in the United States. One sample showed a coinfection of rhinovirus types A46 and C48.",,"Collins, Courtney L|Faleye, Temitope O C|Kraberger, Simona|Fontenele, Rafaela S|Adams, Deborah|Adhikari, Sangeet|Sandrolini, Helen|Finnerty, Sarah|Halden, Rolf U|Scotch, Matthew|Varsani, Arvind",Microbiology resource announcements,Journal Article,2022,LM013129,3U01LM013129-02S1,phs002527.v1.p1,RADx-rad,Wastewater,1.0,"The publication abstract focuses on the sequencing of rhinovirus types, which is unrelated to the funding opportunity and grant abstract centered on wastewater-based testing for COVID-19. The publication does not address any aspects of WBE, SARS-CoV-2, or the objectives outlined in the RADx-rad initiative.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on wastewater-based testing for SARS-CoV-2 and COVID-19, while the publication abstract discusses the coding-complete sequences of rhinovirus types A46, A39, C56, and C48, which is a different topic."
36291595_phs002522.v1.p1,36291595,PMC9599826,doi:10.3390/biom12101386,Selecting Multitarget Peptides for Alzheimer's Disease.,"Alzheimer's disease (AD) is a multifactorial disease with a complex pathogenesis. Developing multitarget drugs could be a powerful strategy to impact the progressive loss of cognitive functions in this disease. The purpose of this study is to select a multitarget lead peptide candidate among a series of peptide variants derived from the neutrophil granule protein cathepsin G. We screened eight peptide candidates using the following criteria: (1) Inhibition and reversion of amyloid beta (Aβ) oligomers, quantified using an enzyme-linked immunosorbent assay (ELISA); (2) direct binding of peptide candidates to the human receptor for advanced glycation end-products (RAGE), the Toll-like receptor 4 (TLR4) and the S100 calcium-binding protein A9 (S100A9), quantified by ELISA; (3) protection against Aβ oligomer-induced neuronal cell death, using trypan blue to measure cell death in a murine neuronal cell line; (4) inhibition of TLR4 activation by S100A9, using a human TLR4 reporter cell line. We selected a 27-mer lead peptide that fulfilled these four criteria. This lead peptide is a privileged structure that displays inherent multitarget activity. This peptide is expected to significantly impact cognitive decline in mouse models of Alzheimer's disease, by targeting both neuroinflammation and neurodegeneration.",Alzheimer Disease|Alzheimer’s disease|Amyloid beta-Peptides|Animals|Calcium-Binding Proteins|Cathepsin G|Humans|Mice|Receptor for Advanced Glycation End Products|S100 calcium-binding protein A9|Toll-Like Receptor 4|Toll-like receptor 4|Trypan Blue|amyloid beta|cathepsin G|multitarget drug|neurodegeneration|neuroinflammation|neutrophil|receptor for advanced glycation end-products,"Kasus-Jacobi, Anne|Washburn, Jennifer L|Laurence, Riley B|Pereira, H Anne",Biomolecules,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2022,HL152410,1U01HL152410-01,phs002522.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract focuses on selecting multitarget peptides for Alzheimer's disease, which is unrelated to the funding opportunity and grant abstract that are centered on developing biosensing technologies for COVID-19 detection. The publication does not address any aspects of COVID-19, VOC detection, or the RADx-rad initiative.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses the selection of multitarget peptides for Alzheimer's disease, which is a completely different topic."
36326636_phs002585.v1.p1,36326636,PMC9877592,doi:10.1111/ped.15407,Convalescent plasma in hospitalized pediatric and obstetric coronavirus disease 2019 (COVID-19) patients.,"Published data on coronavirus disease 2019 (COVID-19) convalescent plasma (CCP) use in children and obstetric patients are limited. We describe a single-center experience of hospitalized patients who received CCP for acute COVID-19. A retrospective review of children 0-18-years-old and pregnant patients hospitalized with laboratory-confirmed acute COVID-19 who received CCP from March 1, 2020 to March 1, 2021 was performed. Clinical and laboratory data were collected to assess the safety of CCP administration. Antibodies to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) were measured in the CCP products and in patients before transfusion and at various time points post-transfusion. Correlation between the administered SARS-CoV-2 administered versus the SARS-CoV-2 anti-spike immunoglobulin response in patient serum was assessed. Twenty-two children and ten obstetric patients were eligible. Twelve pediatric and eight obstetric patients had moderate disease and ten pediatric and two obstetric patients had severe disease. Five pediatric patients died. Eighteen of 37 (48.6%) CCP titers that were measured met US Food and Drug Administration (FDA) criteria for high immunoglobulin G (IgG) antibody titer. There were no complications with transfusion. High-titer CCP showed a positive correlation with rise in patient total immunoglobulin levels only in obstetric patients but not in pediatric patients. Among pediatric patients, the median serum antibody level increased over time after transfusion. Coronavirus 2019 convalescent plasma was administered safely to our patients. Our study suggested that CCP did not interfere with endogenous antibody production. The antibody titer of CCP correlated with post-transfusion response only in obstetric patients. Randomized trials in pediatric and obstetric patients are needed to further understand how to dose CCP and evaluate efficacy.","Adolescent|Antibodies, Viral|COVID-19|COVID-19 Serotherapy|COVID-19 serotherapy|Child|Child, Preschool|Humans|Immunization, Passive|Immunoglobulin G|Infant|Infant, Newborn|SARS-CoV-2|child|pregnancy","Ikeda, Saki|Benzi, Eduardo|Hensch, Lisa A|Devaraj, Sridevi|Hui, Shiu-Ki Rocky|Gandhi, Manisha|Fox, Karin A|Teruya, Jun|Munoz, Flor M",Pediatrics international : official journal of the Japan Pediatric Society,Journal Article,2022,HD105593,1R61HD105593-01,phs002585.v1.p1,RADx-rad,PreVAIL kIds,3.0,"The publication abstract discusses the use of convalescent plasma in pediatric and obstetric COVID-19 patients, focusing on safety and antibody responses. While it relates to COVID-19 treatment, it does not address the specific objectives of the funding opportunity, which are about developing novel biomarkers and prognostic algorithms for MIS-C in children. The publication does not contribute to the characterization of the disease spectrum or the development of diagnostic tools as outlined in the grant abstract.","The publication abstract is related to the research objectives of the funding opportunity and the grant abstract. The funding opportunity focuses on developing novel approaches to characterize the spectrum of SARS-CoV-2 associated illness in children, including the multisystem inflammatory syndrome in children (MIS-C), and identifying biomarkers and/or biosignatures for a prognostic algorithm to predict disease severity. The grant abstract proposes an artificial intelligence/machine learning approach to integrate a rich and heterogeneous dataset to characterize the spectrum of disease and identify biosignatures that predict severity in progressive disease. The publication abstract discusses the use of convalescent plasma in hospitalized pediatric and obstetric COVID-19 patients, which is related to the grant abstract's focus on characterizing pediatric COVID-19 and stratifying patients by projected disease severity. While the publication abstract does not directly address the development of biomarkers or biosignatures, it does discuss the measurement of antibodies to SARS-CoV-2 in patients before and after transfusion, which is relevant to the funding opportunity's focus on identifying biomarkers and/or biosignatures."
36363914_phs002600.v1.p1,36363914,PMC9695810,doi:10.3390/mi13111892,"Glass-to-Glass Fusion Bonding Quality and Strength Evaluation with Time, Applied Force, and Heat.","A bonding process was developed for glass-to-glass fusion bonding using Borofloat 33 wafers, resulting in high bonding yield and high flexural strength. The Borofloat 33 wafers went through a two-step process with a pre-bond and high-temperature bond in a furnace. The pre-bond process included surface activation bonding using O<sub>2</sub> plasma and N<sub>2</sub> microwave (MW) radical activation, where the glass wafers were brought into contact in a vacuum environment in an EVG 501 Wafer Bonder. The optimal hold time in the EVG 501 Wafer bonder was investigated and concluded to be a 3 h hold time. The bonding parameters in the furnace were investigated for hold time, applied force, and high bonding temperature. It was concluded that the optimal parameters for glass-to-glass Borofloat 33 wafer bonding were at 550 °C with a hold time of 1 h with 550 N of applied force.",Borofloat glass|fusion bonding|plasma activation|wafer bonding,"Trinh, Nhi N|Simms, Leslie A|Chew, Bradley S|Weinstein, Alexander|La Saponara, Valeria|McCartney, Mitchell M|Kenyon, Nicholas J|Davis, Cristina E",Micromachines,Journal Article,2022,TR003795,1U18TR003795-01,phs002600.v1.p1,RADx-rad,SCENT,1.0,"The publication abstract focuses on glass-to-glass fusion bonding, which is unrelated to the funding opportunity and grant abstract that aim to develop a portable GC detector for COVID-19 diagnostics. The publication does not address VOC detection, COVID-19, or any related technologies.","The publication abstract is unrelated to the research objectives of the funding opportunity and the grant abstract. The funding opportunity and grant abstract focus on the development of portable sensing devices for detecting COVID-19 using volatile organic compounds (VOCs) from skin or exhaled breath, while the publication abstract discusses glass-to-glass fusion bonding quality and strength evaluation, which is a completely different topic."
36424825_phs002563.v1.p1,36424825,PMC10402706,doi:10.1089/ars.2022.0185,Cardiovascular Effects of Environmental Metal Antimony: Redox Dyshomeostasis as the Key Pathogenic Driver.,"<b><i>Significance:</i></b> Cardiovascular diseases (CVDs) are the leading cause of death worldwide, which may be due to sedentary lifestyles with less physical activity and over nutrition as well as an increase in the aging population; however, the contribution of pollutants, environmental chemicals, and nonessential metals to the increased and persistent CVDs needs more attention and investigation. Among environmental contaminant nonessential metals, antimony has been less addressed. <b><i>Recent Advances:</i></b> Among environmental contaminant nonessential metals, several metals such as lead, arsenic, and cadmium have been associated with the increased risk of CVDs. Antimony has been less addressed, but its potential link to CVDs is being gradually recognized. <b><i>Critical Issues:</i></b> Several epidemiological studies have revealed the significant deleterious effects of antimony on the cardiovascular system in the absence or presence of other nonessential metals. There has been less focus on whether antimony alone can contribute to the pathogenesis of CVDs and the proposed mechanisms of such possible effects. This review addresses this gap in knowledge by presenting the current available evidence that highlights the potential role of antimony in the pathogenesis of CVDs, most likely <i>via</i> antimony-mediated redox dyshomeostasis. <b><i>Future Directions:</i></b> More direct evidence from preclinical and mechanistic studies is urgently needed to evaluate the possible roles of antimony in mitochondrial dysfunction and epigenetic regulation in CVDs. <i>Antioxid. Redox Signal.</i> 38, 803-823.","Aged|Antimony|Cardiovascular Diseases|Cardiovascular System|Epigenesis, Genetic|Humans|Metals|Oxidation-Reduction|antimony toxicity|cardiovascular diseases|metal cardiotoxicity|redox imbalance","Tan, Yi|El-Kersh, Karim|Watson, Sara E|Wintergerst, Kupper A|Huang, Jiapeng|Cai, Lu",Antioxidants & redox signaling,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Review",2023,TR003787,1U18TR003787-01,phs002563.v1.p1,RADx-rad,SCENT,1.0,"The publication abstract discusses the cardiovascular effects of environmental metal antimony and its role in redox dyshomeostasis. This is unrelated to the funding opportunity and grant abstract, which focus on developing a portable breath analysis device for COVID-19 detection using VOCs and AI. The publication does not address any aspects of COVID-19, VOC analysis, or diagnostic technologies.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of diagnostic technologies for COVID-19, specifically using volatile organic compounds (VOCs) and breath analysis. In contrast, the publication abstract discusses the cardiovascular effects of environmental metal antimony and its potential link to cardiovascular diseases, which is a completely different topic. There is no mention of COVID-19, VOCs, or breath analysis in the publication abstract, indicating a lack of relevance to the funding opportunity and grant abstract."
36481291_phs002583.v1.p1,36481291,PMC11829738,doi:10.1016/j.addr.2022.114636,Advanced theragnostics for the central nervous system (CNS) and neurological disorders using functional inorganic nanomaterials.,"Various types of inorganic nanomaterials are capable of diagnostic biomarker detection and the therapeutic delivery of a disease or inflammatory modulating agent. Those multi-functional nanomaterials have been utilized to treat neurodegenerative diseases and central nervous system (CNS) injuries in an effective and personalized manner. Even though many nanomaterials can deliver a payload and detect a biomarker of interest, only a few studies have yet to fully utilize this combined strategy to its full potential. Combining a nanomaterial's ability to facilitate targeted delivery, promote cellular proliferation and differentiation, and carry a large amount of material with various sensing approaches makes it possible to diagnose a patient selectively and sensitively while offering preventative measures or early disease-modifying strategies. By tuning the properties of an inorganic nanomaterial, the dimensionality, hydrophilicity, size, charge, shape, surface chemistry, and many other chemical and physical parameters, different types of cells in the central nervous system can be monitored, modulated, or further studies to elucidate underlying disease mechanisms. Scientists and clinicians have better understood the underlying processes of pathologies for many neurologically related diseases and injuries by implementing multi-dimensional 0D, 1D, and 2D theragnostic nanomaterials. The incorporation of nanomaterials has allowed scientists to better understand how to detect and treat these conditions at an early stage. To this end, having the multi-modal ability to both sense and treat ailments of the central nervous system can lead to favorable outcomes for patients suffering from such injuries and diseases.",CNS injury|Central Nervous System|Humans|Multifunctional Inorganic nanomaterials|Nanostructures|Neurodegenerative Diseases|Neuroinflammation|Neurological disorders|Optogenetics|Theragnostics,"Conklin, Brandon|Conley, Brian M|Hou, Yannan|Chen, Meizi|Lee, Ki-Bum",Advanced drug delivery reviews,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Review",2023,HL150852,5U01HL150852-02,phs002583.v1.p1,RADx-rad,Novel Biosensing and VOC,2.0,"The publication abstract focuses on the use of inorganic nanomaterials for theragnostics in the central nervous system and neurological disorders. While it discusses the potential of nanomaterials for diagnostic and therapeutic applications, it does not specifically address the development of biosensing technologies for detecting SARS-CoV-2 or COVID-19 biomarkers in breath or other non-invasive methods as outlined in the funding opportunity and grant abstract. The publication's focus on CNS applications and lack of direct relevance to the specific objectives of the RADx-rad initiative make it only partially related.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, specifically using skin and oral cavity samples. In contrast, the publication abstract discusses the use of inorganic nanomaterials for theragnostics in the central nervous system and neurological disorders, which is not related to the topic of COVID-19 diagnosis. Therefore, the publication is not relevant to the research objectives of the funding opportunity and grant."
36528110_phs002689.v1.p1,36528110,PMC9749385,doi:10.1016/j.jaci.2022.12.800,Treating asthma in the time of COVID.,"The Precision Interventions for Severe and/or Exacerbation-Prone Asthma clinical trials network is actively assessing novel treatments for severe asthma during the coronavirus disease (COVID-19) pandemic and has needed to adapt to various clinical dilemmas posed by the COVID-19 pandemic. Pharmacologic interactions between established asthma therapies and novel drug interventions for COVID-19 infection, including antivirals, biologics, and vaccines, have emerged as a critical and unanticipated issue in the clinical care of asthma. In particular, impaired metabolism of some long-acting beta-2 agonists by the cytochrome P4503A4 enzyme in the setting of antiviral treatment using ritonavir-boosted nirmatrelvir (NVM/r, brand name Paxlovid) may increase risk for adverse cardiovascular events. Although available data have documented the potential for such interactions, these issues are largely unappreciated by clinicians who treat asthma, or those dispensing COVID-19 interventions in patients who happen to have asthma. Because these drug-drug interactions have not previously been relevant to patient care, clinicians have had no guidance on management strategies to reduce potentially serious interactions between treatments for asthma and COVID-19. The Precision Interventions for Severe and/or Exacerbation-Prone Asthma network considered the available literature and product information, and herein share our considerations and plans for treating asthma within the context of these novel COVID-19-related therapies.","Asthma|COVID-19|CYP3A4|Drug Therapy, Combination|Humans|Pandemics|corticosteroids|cytochrome P450|interaction|long-acting beta-adrenergic agonist|ritonavir|salmeterol","Carr, Tara F|Fajt, Merritt L|Kraft, Monica|Phipatanakul, Wanda|Szefler, Stanley J|Zeki, Amir A|Peden, David B|White, Steven R|",The Journal of allergy and clinical immunology,"Journal Article|Research Support, N.I.H., Extramural",2023,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.5,"The publication abstract discusses the management of asthma treatments in the context of COVID-19 therapies, specifically focusing on drug interactions. This is unrelated to the funding opportunity and grant abstract, which focus on developing rapid, non-invasive diagnostic tests for COVID-19 using saliva-based biosensing technologies. The publication does not address any of the research objectives related to diagnostic tools or biosensing approaches.","The publication abstract is not directly related to the research objectives of the funding opportunity, which focuses on developing novel biosensing and detection approaches for COVID-19. The publication abstract discusses treating asthma in the context of the COVID-19 pandemic, specifically addressing pharmacologic interactions between asthma therapies and COVID-19 treatments. While it mentions COVID-19, it does not align with the specific goals of the funding opportunity, such as developing rapid, non-invasive diagnostic technologies for COVID-19. Therefore, the publication is not strongly related to the funding opportunity or the grant abstract."
36528164_phs002600.v1.p1,36528164,PMC10108428,doi:10.1016/j.chemosphere.2022.137528,Controlled air exchange rate method to evaluate reduction of volatile organic compounds by indoor air cleaners.,"Air cleaning technologies are needed to reduce indoor concentrations and exposure to volatile organic compounds (VOCs). Currently, air cleaning technologies lack an accepted test standard to evaluate their VOC removal performance. A protocol to evaluate the VOC removal performance of air cleaning devices was developed and piloted with two devices. This method injects a VOC mixture and carbon dioxide into a test chamber, supplies outdoor air at a standard building ventilation rate, periodically measures the VOC concentrations in the chamber using solid phase microextraction-gas chromatography-mass spectrometry over a 3-h decay period, and compares the decay rate of VOCs to carbon dioxide to measure the VOC removal air cleaning performance. The method was demonstrated with both a hydroxyl radical generator and an activated carbon air cleaner. It was shown that the activated carbon air cleaner device tested had a clean air delivery rate an order of magnitude greater than the hydroxyl radical generator device (72.10 vs 6.32 m<sup>3</sup>/h).","Air Pollutants|Air Pollution, Indoor|Air cleaning|Carbon Dioxide|Charcoal|Environmental Monitoring|Hydroxyl Radical|Indoor air quality|Method of test|Performance evaluation|Volatile Organic Compounds|Volatile organic compounds","Rajapakse, Maneeshin Y|Pistochini, Theresa E|Borras, Eva|McCartney, Mitchell M|Davis, Cristina E",Chemosphere,Journal Article,2023,TR003795,1U18TR003795-01,phs002600.v1.p1,RADx-rad,SCENT,1.5,"The publication abstract focuses on evaluating air cleaners' ability to reduce VOCs, which is unrelated to the development of a portable GC detector for diagnosing COVID-19. The research objectives of the funding opportunity and grant abstract are centered around creating a diagnostic tool using VOC analysis, while the publication discusses air quality improvement methods, showing no connection to COVID-19 diagnostics.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on developing portable sensing devices to detect COVID-19 using volatile organic compounds (VOCs) from skin or exhaled breath, while the publication abstract discusses a method to evaluate the VOC removal performance of indoor air cleaners. Although both involve VOCs, the context and application are different. The publication abstract does not address COVID-19 diagnosis or the development of portable sensing devices for this purpose, which are the primary objectives of the funding opportunity and grant abstract."
36547592_phs002583.v1.p1,36547592,PMC9781138,doi:10.3390/jof8121259,Multiple F-Box Proteins Collectively Regulate Cell Development and Pathogenesis in the Human Pathogen <i>Cryptococcus neoformans</i>.,"The ubiquitin-proteasome system (UPS) mediates intracellular proteins degradation that influences various cellular functions in eukaryotic cells. The UPS is also involved in the development and virulence of pathogenic fungi. F-box proteins, which are part of the SCF (Skp1-Cullin-F-box protein) ligase, are a key component of UPS and are essential for the recognition of specific substrates. In this study, we identified 20 F-box proteins in <i>C. neoformans</i> and obtained deletion mutants for 19 of them. A comprehensive phenotypic analysis of these mutants revealed the diverse function of F-box proteins in stress response, cell size regulation, sexual reproduction, antifungal drug resistance, and fungal virulence in <i>C. neoformans</i>. The importance of three F-box proteins: Fbp4, Fbp8, and Fbp11, in these cellular functions were characterized in detail. This study provides an overall view of the F-box gene family in <i>C. neoformans</i>, which will lead to a better understanding of the function of fungal SCF E3 ligase-mediated UPS in fungal development and pathogenesis.",Cryptococcus neoformans|E3 ligase|F-box protein|fungal pathogenesis|stress response,"Cao, Chengjun|Wang, Yina|Avina, Samantha L|Walter, John|Xue, Chaoyang","Journal of fungi (Basel, Switzerland)",Journal Article,2022,HL150852,5U01HL150852-02,phs002583.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract discusses the role of F-box proteins in the pathogenesis of Cryptococcus neoformans, a fungal pathogen. This is unrelated to the funding opportunity and grant abstract, which focus on developing novel biosensing technologies for detecting SARS-CoV-2 in breath samples. The publication does not address COVID-19, biosensing, or any related technologies, making it irrelevant to the research objectives of the funding opportunity.","The publication abstract is unrelated to the research objectives of the funding opportunity and the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses the role of F-box proteins in the development and pathogenesis of the human pathogen Cryptococcus neoformans. There is no apparent connection between the two topics."
36564419_phs002924.v1.p1,36564419,PMC9789147,doi:10.1038/s41467-022-35537-2,Glucose absorption drives cystogenesis in a human organoid-on-chip model of polycystic kidney disease.,"In polycystic kidney disease (PKD), fluid-filled cysts arise from tubules in kidneys and other organs. Human kidney organoids can reconstitute PKD cystogenesis in a genetically specific way, but the mechanisms underlying cystogenesis remain elusive. Here we show that subjecting organoids to fluid shear stress in a PKD-on-a-chip microphysiological system promotes cyst expansion via an absorptive rather than a secretory pathway. A diffusive static condition partially substitutes for fluid flow, implicating volume and solute concentration as key mediators of this effect. Surprisingly, cyst-lining epithelia in organoids polarize outwards towards the media, arguing against a secretory mechanism. Rather, cyst formation is driven by glucose transport into lumens of outwards-facing epithelia, which can be blocked pharmacologically. In PKD mice, glucose is imported through cysts into the renal interstitium, which detaches from tubules to license expansion. Thus, absorption can mediate PKD cyst growth in human organoids, with implications for disease mechanism and potential for therapy development.",Animals|Cysts|Epithelium|Humans|Kidney|Mice|Organoids|Polycystic Kidney Diseases,"Li, Sienna R|Gulieva, Ramila E|Helms, Louisa|Cruz, Nelly M|Vincent, Thomas|Fu, Hongxia|Himmelfarb, Jonathan|Freedman, Benjamin S",Nature communications,"Journal Article|Research Support, N.I.H., Extramural",2022,HL152401,3U01HL152401-02S1,phs002924.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract discusses glucose absorption driving cystogenesis in a human organoid-on-chip model of polycystic kidney disease. This is unrelated to the funding opportunity and grant abstract, which focus on developing biosensors for detecting VOC and non-VOC biomarkers of COVID-19. The publication does not address any aspects of COVID-19 diagnosis, biosensing technologies, or the objectives outlined in the funding opportunity.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19 diagnosis, while the publication abstract discusses a study on polycystic kidney disease (PKD) using a human organoid-on-chip model. The topics and research areas are distinct and unrelated, indicating a strong disagreement between the publication and the funding opportunity/grant objectives."
