identifier,pm_id,pmc_id,doi,title,keywords,authors,journal,article_type,year,project_serial_num,project_num,dbgap_accession,research_initiative,sub_project,likert_score,explanation_DeepSeek-R1-Distill-Qwen-32B,explanation_Llama-3.3-70B-Instruct
37058079_phs002583.v1.p1,37058079,PMC10576016,doi:10.1002/smll.202300744,"Nanotechnology Approaches for Prevention and Treatment of Chemotherapy-Induced Neurotoxicity, Neuropathy, and Cardiomyopathy in Breast and Ovarian Cancer Survivors.",Antineoplastic Agents|Breast Neoplasms|Cancer Survivors|Cardiomyopathies|Female|Humans|Nanoparticles|Nanotechnology|Neurotoxicity Syndromes|Ovarian Neoplasms|cardiomyopathy|nanotechnology and nanomedicine|neuropathy|neurotoxicity|ovarian and breast cancer,"Nevins, Sarah|McLoughlin, Callan D|Oliveros, Alfredo|Stein, Joshua B|Rashid, Mohammad Abdur|Hou, Yannan|Jang, Mi-Hyeon|Lee, Ki-Bum","Small (Weinheim an der Bergstrasse, Germany)",Journal Article|Review,2024,HL150852,5U01HL150852-02,phs002583.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract focuses on nanotechnology approaches for preventing and treating chemotherapy-induced side effects in cancer survivors, which is unrelated to the funding opportunity and grant abstract that are centered on developing biosensing technologies for COVID-19 detection. The publication does not address any aspects of COVID-19, SARS-CoV-2, or diagnostic technologies, making it irrelevant to the research objectives outlined in the funding opportunity.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses nanotechnology approaches for the prevention and treatment of chemotherapy-induced neurotoxicity, neuropathy, and cardiomyopathy in breast and ovarian cancer survivors. There is no overlap or connection between the topics, indicating that the publication is not relevant to the research objectives outlined in the funding opportunity and grant abstract."
37098909_phs002527.v1.p1,37098909,PMC10190252,doi:10.1128/mra.00069-23,"<i>Rhizobium</i> Phage-Like Microvirus Genome Sequence Identified in Wastewater in Arizona, USA, in November 2020 Encodes an Endolysin and a Putative Multiheme Cytochrome <i>c</i>-like Protein.",,"Chapman, Ainsley R|Wright, Jillian M|Kaiser, Nicole A|Jones, Peter M|Driver, Erin M|Halden, Rolf U|Varsani, Arvind|Scotch, Matthew|Faleye, Temitope O C",Microbiology resource announcements,Journal Article,2023,LM013129,3U01LM013129-02S1,phs002527.v1.p1,RADx-rad,Wastewater,2.0,"The publication abstract describes the identification of a microvirus genome in wastewater, which is related to the broader goals of wastewater-based epidemiology (WBE) as mentioned in the funding opportunity and grant abstract. However, the specific focus of the publication is on a microvirus, which is not directly related to the objectives of the RADx-rad initiative, which primarily targets SARS-CoV-2 detection and surveillance. While the methods used in the publication (e.g., genome sequencing) could be relevant to WBE, the content does not address the specific aims of optimizing wastewater sample collection, analysis, or intervention strategies for COVID-19 as outlined in the funding opportunity and grant abstract.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract, which focus on wastewater-based testing for SARS-CoV-2 and COVID-19 surveillance. The publication abstract discusses the genome sequence of a microvirus identified in wastewater, which, although related to wastewater analysis, does not align with the specific goals of detecting and tracking SARS-CoV-2 or informing public health strategies for COVID-19. Therefore, the publication is not strongly related to the funding opportunity or the grant abstract."
37106203_phs002583.v1.p1,37106203,PMC10812845,doi:10.1007/978-1-0716-3135-5_32,Methods of Machine Learning-Based Chimeric Antigen Receptor Immunological Synapse Quality Quantification.,"Artificial neural networks (ANN)|Chimeric antigen receptor (CAR)|Confocal microscopy|Humans|IS|Immune synapse|Immunological Synapses|Immunological synapse|Immunotherapy, Adoptive|Neoplasms|Receptors, Antigen, T-Cell|Receptors, Chimeric Antigen|SLB|T-Lymphocytes|United States|glass-supported lipid bilayer","Gan, Julian|Cho, Jong Hyun|Lee, Ryan|Naghizadeh, Alireza|Poon, Ling Yue|Wang, Ethan|Hui, Zachary|Liu, Dongfang","Methods in molecular biology (Clifton, N.J.)","Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2023,HL150852,5U01HL150852-02,phs002583.v1.p1,RADx-rad,Novel Biosensing and VOC,1.5,"The publication abstract focuses on machine learning-based quantification of CAR-T cell immunological synapses, which is unrelated to the funding opportunity and grant abstract's focus on developing non-invasive biosensing technologies for COVID-19 detection. The publication does not address any aspects of the RADx-rad initiative, such as VOC detection, SCENT devices, or the development of rapid diagnostic tools for COVID-19.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, specifically using volatile organic compounds (VOCs) from skin or the oral cavity. In contrast, the publication abstract discusses machine learning-based chimeric antigen receptor immunological synapse quality quantification, which is a different topic related to immunotherapy for blood cancers. While both topics involve biomedical research, they are not closely related, and the publication abstract does not demonstrate a clear connection to the research objectives outlined in the funding opportunity and grant abstract."
37122540_phs002522.v1.p1,37122540,PMC10131585,doi:10.1039/d2md00409g,Computational design of a cyclic peptide that inhibits the CTLA4 immune checkpoint.,,"Thakkar, Ravindra|Upreti, Deepa|Ishiguro, Susumu|Tamura, Masaaki|Comer, Jeffrey",RSC medicinal chemistry,Journal Article,2023,HL152410,1U01HL152410-01,phs002522.v1.p1,RADx-rad,Novel Biosensing and VOC,1.5,"The publication abstract focuses on the computational design of a cyclic peptide targeting the CTLA4 immune checkpoint for cancer immunotherapy. This is unrelated to the funding opportunity and grant abstract, which are centered on developing novel biosensing technologies for COVID-19 detection using electronic-nose technology and metal-organic frameworks. The publication does not address any aspects of COVID-19, VOC detection, or the development of diagnostic devices, making it strongly disagree with the research objectives of the funding opportunity and grant.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, specifically using electronic-nose technology (SCENT) to identify biomarkers of the disease. In contrast, the publication abstract discusses the computational design of a cyclic peptide that inhibits the CTLA4 immune checkpoint, which is a topic related to cancer immunotherapy and not directly relevant to COVID-19 diagnostics. While both topics involve biomedical research, they are distinct and unrelated, leading to a conclusion of 'Disagree' (score of 2)."
37140576_phs002563.v1.p1,37140576,PMC10210611,doi:10.5152/TJAR.2023.22974,Intraoperative Fraction of Inspired Oxygen and Lung Injury in Coronary Artery Bypass Grafting: Study Protocol for a Randomised Controlled Trial.,,"Song, Kaicheng|Wang, Sheng|Han, Jiange|Jiang, Luyang|Xu, Junmei|Akca, Ozan|Adkins, Kandis|Koenig, Heidi M|Slaughter, Mark S|Clifford, Sean P|Huang, Yuguang|Huang, Jiapeng",Turkish journal of anaesthesiology and reanimation,Journal Article,2023,TR003787,1U18TR003787-01,phs002563.v1.p1,RADx-rad,SCENT,1.0,"The publication abstract focuses on a randomized controlled trial evaluating oxygenation strategies during coronary artery bypass grafting and their impact on postoperative pulmonary complications. This is unrelated to the funding opportunity and grant abstract, which are centered on developing a portable breath analysis device for COVID-19 detection using VOCs and GC technology. The publication does not address any aspects of VOC analysis, COVID-19 diagnostics, or the technologies described in the funding opportunity.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on developing diagnostic technologies for COVID-19, specifically using volatile organic compounds (VOCs) and breath analysis. In contrast, the publication abstract discusses a randomized controlled trial on the effects of intraoperative fraction of inspired oxygen on lung injury in coronary artery bypass grafting patients, which is unrelated to COVID-19 diagnostics or VOC analysis."
37160974_phs002525.v1.p1,37160974,PMC10169181,doi:10.1038/s41467-023-38400-0,Highly host-linked viromes in the built environment possess habitat-dependent diversity and functions for potential virus-host coevolution.,Alkanesulfonic Acids|Built Environment|Microbiota|Virome,"Du, Shicong|Tong, Xinzhao|Lai, Alvin C K|Chan, Chak K|Mason, Christopher E|Lee, Patrick K H",Nature communications,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2023,DA053941,1U01DA053941-01,phs002525.v1.p1,RADx-rad,Wastewater,1.5,"The publication abstract discusses viromes in built environments and their interactions with hosts, which is unrelated to the funding opportunity and grant abstract focused on wastewater-based surveillance for SARS-CoV-2. The publication does not address any aspects of wastewater testing, sample collection, or computational models related to COVID-19 surveillance.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract, which focus on wastewater-based testing for SARS-CoV-2 and COVID-19 surveillance. While the publication abstract discusses viromes in built environments, its primary focus is on the diversity, composition, and functions of viruses in these environments, rather than on wastewater-based testing or COVID-19 surveillance. Therefore, the publication is not strongly related to the funding opportunity or the grant abstract."
37207635_phs002600.v1.p1,37207635,PMC11057948,doi:10.1088/1752-7163/acd715,Exhaled breath condensate profiles of U.S. Navy divers following prolonged hyperbaric oxygen (HBO) and nitrogen-oxygen (Nitrox) chamber exposures.,Breath Tests|Cross-Over Studies|Humans|Hyperbaric Oxygenation|Hyperoxia|Nitrogen|Oxygen|breath analysis|metabolomics|oxygen toxicity|pulmonary hyperoxic stress,"Fothergill, David M|Borras, Eva|McCartney, Mitchell M|Schelegle, Edward S|Davis, Cristina E",Journal of breath research,"Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.",2023,TR003795,1U18TR003795-01,phs002600.v1.p1,RADx-rad,SCENT,2.5,"The publication abstract focuses on the metabolomics analysis of exhaled breath condensate in divers exposed to hyperbaric conditions, aiming to identify biomarkers for pulmonary oxygen toxicity. While it involves exhaled breath analysis, the objectives and methodology differ from the funding opportunity and grant abstract, which focus on developing a portable GC detector for diagnosing COVID-19. The publication does not address COVID-19 or the specific VOC detection technologies outlined in the funding opportunity.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on developing portable sensing devices to detect COVID-19 using volatile organic compounds (VOCs) from skin or exhaled breath, whereas the publication abstract discusses a study on exhaled breath condensate profiles of U.S. Navy divers following prolonged hyperbaric oxygen and nitrogen-oxygen chamber exposures, which is unrelated to COVID-19 diagnostics. Although both involve breath analysis, the context and purpose of the studies are different."
37216348_phs002600.v1.p1,37216348,PMC10202283,doi:10.1371/journal.pone.0285726,Active sampling of volatile chemicals for non-invasive classification of chicken eggs by sex early in incubation.,Animals|Automation|Chickens|Eggs|Female|Male|Ovum|Refuse Disposal|Temperature,"Borras, Eva|Wang, Ying|Shah, Priyanka|Bellido, Kevin|Hamera, Katherine L|Arlen, Robert A|McCartney, Mitchell M|Portillo, Kristy|Zhou, Huaijun|Davis, Cristina E|Turpen, Thomas H",PloS one,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.",2023,TR003795,1U18TR003795-01,phs002600.v1.p1,RADx-rad,SCENT,1.5,"The publication abstract focuses on the non-invasive classification of chicken eggs by sex using volatile organic compounds (VOCs) and a vacuum sampling system. This research is unrelated to the funding opportunity and grant abstract, which are centered on developing a portable GC detector for diagnosing COVID-19 through breath analysis. The publication's objectives, methodology, and subject matter do not align with the goals of the RADx-rad initiative or the grant's focus on COVID-19 diagnostics.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of portable sensing devices for detecting COVID-19 using volatile organic compounds (VOCs) from skin or exhaled breath, whereas the publication abstract discusses a method for non-invasive classification of chicken eggs by sex using VOCs. Although both involve VOC analysis, the application and context are different, and the publication does not address the specific goals of detecting COVID-19 or developing diagnostic technologies for human health."
37264756_phs002573.v1.p1,37264756,PMC10538431,doi:10.1002/smll.202300040,Self-Assembly of DNA Nanostructures in Different Cations.,Cations|DNA|DNA nanostructures|DNA nanotechnology|Nanostructures|Nanotechnology|Nucleic Acid Conformation|biostability|metal ions|self-assembly,"Rodriguez, Arlin|Gandavadi, Dhanush|Mathivanan, Johnsi|Song, Tingjie|Madhanagopal, Bharath Raj|Talbot, Hannah|Sheng, Jia|Wang, Xing|Chandrasekaran, Arun Richard","Small (Weinheim an der Bergstrasse, Germany)","Journal Article|Research Support, N.I.H., Extramural|Research Support, U.S. Gov't, Non-P.H.S.",2023,AA029348,1U01AA029348-01,phs002573.v1.p1,RADx-rad,Automatic Detection & Tracing,2.5,"The publication abstract discusses the self-assembly of DNA nanostructures under various ionic conditions, which is a foundational aspect of DNA nanotechnology. While this research contributes to the understanding of DNA structure stability and assembly, it does not directly address the specific objectives of the funding opportunity or the grant abstract, which focus on the development of a detection and tracing system for SARS-CoV-2 using DNA-based biosensors and blockchain technology. The publication's focus on ionic conditions and nuclease resistance is more about the basic science of DNA assembly rather than the applied development of diagnostic tools.","The publication abstract is related to DNA nanostructures and their assembly in different ionic conditions, which is a relevant topic in the field of biosensing and diagnostics. However, it does not directly address the specific objectives of the funding opportunity or the grant abstract, which focus on the development of a platform for automatic detection and tracing of SARS-CoV-2. While the publication abstract mentions the use of DNA nanostructures, it does not specifically discuss their application in COVID-19 detection or tracing. Therefore, the publication is only tangentially related to the research objectives of the funding opportunity and the grant abstract, and the result is 'Disagree' (2)."
37264756_phs002685.v1.p1,37264756,PMC10538431,doi:10.1002/smll.202300040,Self-Assembly of DNA Nanostructures in Different Cations.,Cations|DNA|DNA nanostructures|DNA nanotechnology|Nanostructures|Nanotechnology|Nucleic Acid Conformation|biostability|metal ions|self-assembly,"Rodriguez, Arlin|Gandavadi, Dhanush|Mathivanan, Johnsi|Song, Tingjie|Madhanagopal, Bharath Raj|Talbot, Hannah|Sheng, Jia|Wang, Xing|Chandrasekaran, Arun Richard","Small (Weinheim an der Bergstrasse, Germany)","Journal Article|Research Support, N.I.H., Extramural|Research Support, U.S. Gov't, Non-P.H.S.",2023,DE030852,1R44DE030852-01,phs002685.v1.p1,RADx-rad,Novel Biosensing and VOC,2.5,"The publication abstract discusses the self-assembly of DNA nanostructures in various ions, which is related to the underlying technology described in the grant abstract. However, the publication does not specifically address the development of a SARS-CoV-2 rapid diagnostic test or the biosensing approaches outlined in the funding opportunity. While the DNA nanostructures could potentially be used in biosensing applications, the publication's focus is more on the fundamental aspects of DNA assembly rather than the specific application to COVID-19 diagnostics.","The publication abstract is related to the development of DNA nanostructures, which is a relevant technology for biosensing and detection approaches. However, the publication abstract does not directly address the specific research objectives of the funding opportunity, such as the development of novel biosensing and detection approaches for COVID-19. The grant abstract, on the other hand, proposes a specific project for the development of a rapid diagnostic test for SARS-CoV-2 using a DNA star biosensing approach. While the publication abstract provides some background information on DNA nanostructures, it does not demonstrate a clear connection to the grant abstract or the funding opportunity. Therefore, the result is 2, indicating that the publication is not strongly related to the research objectives of the funding opportunity or the grant abstract."
37327108_phs002583.v1.p1,37327108,PMC10907067,doi:10.1002/adma.202303021,Effective Modulation of Inflammation and Oxidative Stress for Enhanced Regeneration of Intervertebral Discs Using 3D Porous Hybrid Protein Nanoscaffold.,2D nanomaterials|3D hybrid protein nanoscaffolds|Animals|Humans|Inflammation|Intervertebral Disc|Intervertebral Disc Degeneration|Oxidative Stress|Porins|Porosity|Rats|Reactive Oxygen Species|epigenetic modification|inflammation|intervertebral disc (IVD) degeneration|nanoscaffolds|oxidative stress|self-assembly,"Yang, Letao|Bhujel, Basanta|Hou, Yannan|Luo, Jeffrey|An, Seong Bae|Han, Inbo|Lee, Ki-Bum","Advanced materials (Deerfield Beach, Fla.)",Journal Article,2023,HL150852,5U01HL150852-02,phs002583.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract focuses on the development of a 3D porous hybrid protein nanoscaffold for treating intervertebral disc degeneration. This research is unrelated to the funding opportunity and grant abstract, which are centered on developing biosensing technologies for COVID-19 detection. The publication does not address any objectives related to COVID-19 diagnostics, biosensing, or the RADx-rad initiative.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses the development of a 3D porous hybrid protein nanoscaffold for treating intervertebral disc degeneration, which is a completely different topic."
37333099_phs002699.v1.p1,37333099,PMC10275002,doi:10.1101/2023.06.05.23290966,"More spice, less salt: how capsaicin affects liking for and perceived saltiness of foods in people with smell loss.",,"Hunter, Stephanie R|Beatty, Candelaria|Dalton, Pamela H",medRxiv : the preprint server for health sciences,Journal Article|Preprint,2023,DC019578,1U01DC019578-01,phs002699.v1.p1,RADx-rad,Chemosensory Testing,3.0,"The publication abstract discusses the effects of capsaicin on salt perception and food liking in individuals with smell loss, which is not directly related to the objectives of the funding opportunity or the grant abstract. The funding opportunity focuses on developing and deploying objective chemosensory tests for COVID-19 screening, while the publication deals with sensory compensation strategies in smell loss, unrelated to COVID-19 testing.","The publication abstract is related to the research objectives of the funding opportunity and the grant abstract. The funding opportunity aims to support the development of novel approaches to identify COVID-19, including chemosensory testing. The grant abstract proposes a rapid smell test, SCENTinel, for COVID-19 surveillance. The publication abstract investigates how capsaicin affects liking for and perceived saltiness of foods in people with smell loss, which is a symptom of COVID-19. Although the publication abstract does not directly address COVID-19 diagnosis or surveillance, it explores the relationship between smell loss and food preferences, which is relevant to the grant's objective of understanding chemosensory symptoms in COVID-19 patients. The connection between smell loss and COVID-19 is established in the grant abstract, and the publication abstract's findings on the effects of capsaicin on flavor and salt taste intensity in individuals with smell loss could inform the development of tests like SCENTinel."
37414097_phs002689.v1.p1,37414097,PMC10504596,doi:10.1016/j.chest.2023.06.005,Towards a Race-Neutral System of Pulmonary Function Test Results Interpretation.,Black or African American|Ethnicity|Humans|Minority Groups|Respiratory Function Tests|Respiratory Physiological Phenomena|United States|health equity|occupational medicine|pulmonary function test|race-neutral interpretation|spirometry,"Baugh, Aaron|Adegunsoye, Ayodeji|Connolly, Margaret|Croft, Daniel|Pew, Krystle|McCormack, Meredith C|Georas, Steve N",Chest,"Journal Article|Research Support, N.I.H., Extramural|Review",2023,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract discusses race-neutral approaches to pulmonary function test interpretation, which is unrelated to the funding opportunity and grant abstract focused on developing rapid saliva-based COVID-19 tests. The publication does not address any aspects of COVID-19 diagnostics, biosensing technologies, or the objectives outlined in the funding opportunity.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses the interpretation of pulmonary function test results and the use of race-neutral approaches in medicine. There is no overlap or connection between the topics, indicating a strong disagreement between the publication and the funding opportunity/grant objectives."
37419015_phs002600.v1.p1,37419015,PMC11014743,doi:10.1016/j.chroma.2023.464151,Portable chemical detection platform for on-site monitoring of odorant levels in natural gas.,Chemical sensors|Gas chromatography|Humans|Mercaptans|Natural Gas|Natural gas|Odorants|Sulfhydryl Compounds|Sulfur Compounds,"Fung, Stephanie|Contreras, Raquel Pimentel|Fung, Alexander G|Gibson, Patrick|LeVasseur, Michael K|McCartney, Mitchell M|Koch, Dylan T|Chakraborty, Pranay|Chew, Bradley S|Rajapakse, Maneeshin Y|Chevy, Daniel A|Hicks, Tristan L|Davis, Cristina E",Journal of chromatography. A,Journal Article,2023,TR003795,1U18TR003795-01,phs002600.v1.p1,RADx-rad,SCENT,2.0,"The publication abstract describes a portable chemical detection platform designed for monitoring odorant levels in natural gas. While the technology involves portable detection and analysis of specific compounds, the application is focused on natural gas odorization rather than medical diagnostics. The funding opportunity and grant abstract specifically target the development of a portable sensing device for detecting volatile organic compounds (VOCs) related to COVID-19 diagnosis. The publication's focus on mercaptans and natural gas odorization does not align with the objectives of diagnosing COVID-19 through VOC analysis. Therefore, the publication is not directly related to the research aims of the funding opportunity and grant.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of portable sensing devices for detecting COVID-19 through volatile organic compounds (VOCs) in skin and oral cavity samples. In contrast, the publication abstract describes a portable chemical detection platform for monitoring odorant levels in natural gas, which is a different application and not relevant to COVID-19 diagnostics. While both involve the detection of VOCs, the context and purpose are distinct, and the publication does not address the specific goals of the funding opportunity or grant abstract."
37421280_phs003124.v1.p1,37421280,PMC10382090,doi:10.1161/JAHA.122.028421,Adenosine A<sub>2A</sub> Receptor Regulates microRNA-181b Expression in Aorta: Therapeutic Implications for Large-Artery Stiffness.,"Adenosine|Animals|Aorta|Carrier Proteins|DNA-Binding Proteins|Humans|Mice|MicroRNAs|Receptor, Adenosine A2A|Water|adenosine A2A receptor|microRNA|microRNA degradation|microRNA‐181b|translin/trax|vascular stiffness","Akiyoshi, Kei|Fujimori, Tomonari|Fu, Xiuping|Shah, Aparna P|Yamaguchi, Atsushi|Steenbergen, Charles|Santhanam, Lakshmi|Berkowitz, Dan|Tuday, Eric|Baraban, Jay M|Das, Samarjit",Journal of the American Heart Association,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2023,TR003780,1U18TR003780-01,phs003124.v1.p1,RADx-rad,Exosome,1.5,"The publication abstract discusses the role of adenosine A2A receptors in regulating microRNA-181b expression and its implications for large-artery stiffness. This is unrelated to the funding opportunity and grant abstract, which focus on developing exosome-based diagnostic technologies for SARS-CoV-2 detection. The publication does not address any of the research objectives related to COVID-19 diagnostics or exosome technology.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract, which focus on the development of diagnostic technologies for SARS-CoV-2 using exosome-based non-traditional approaches. The publication abstract discusses the regulation of microRNA-181b expression in aorta and its potential therapeutic implications for large-artery stiffness, which is unrelated to the topic of SARS-CoV-2 diagnostics. While microRNAs are mentioned in both the grant abstract and the publication abstract, the context and purpose of the research are distinct and do not align with the funding opportunity's objectives."
37461478_phs002544.v1.p1,37461478,PMC10350121,doi:10.21203/rs.3.rs-3069123/v1,Acoustofluidic scanning fluorescence nanoscopy with large field of view.,Acoustics|Acoustofluidics|Fluorescence amplification|Scanning nanoscope|Super-resolution imaging,"Jin, Geonsoo|Rich, Joseph|Xia, Jianping|Upreti, Neil|Zhao, Chenglong|Huang, Tony Jun",Research square,Journal Article|Preprint,2023,TR003778,1U18TR003778-01,phs002544.v1.p1,RADx-rad,Exosome,2.5,"The publication abstract describes the development of an acoustofluidic scanning fluorescence nanoscope, which is a novel imaging tool. While this technology is related to acoustofluidic methods, which are also mentioned in the grant abstract, the publication does not specifically address the detection of SARS-CoV-2 or the objectives outlined in the funding opportunity. The grant focuses on using acoustofluidic separation (AFS) and surface-enhanced Raman spectroscopy (SERS) for detecting SARS-CoV-2 in saliva, which is not covered in the publication. Therefore, the publication is tangentially related but does not directly contribute to the research objectives of the funding opportunity or the grant.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract. While the publication mentions acoustofluidic technology, which is also mentioned in the grant abstract, the publication's focus is on nanoscale fluorescence imaging, not on the detection of SARS-CoV-2 or COVID-19 diagnostics. The grant abstract specifically aims to reposition the AFS EV technology and SERS for the earliest non-invasive detection of SARS-CoV-2 and host immunity in saliva of infected patients, which is not the primary goal of the publication. Therefore, the publication is not strongly related to the funding opportunity or the grant abstract."
37468650_phs002544.v1.p1,37468650,PMC11052649,doi:10.1038/s41596-023-00844-5,Acoustic tweezers for high-throughput single-cell analysis.,Acoustics|Engineering|Single-Cell Analysis,"Yang, Shujie|Rufo, Joseph|Zhong, Ruoyu|Rich, Joseph|Wang, Zeyu|Lee, Luke P|Huang, Tony Jun",Nature protocols,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.|Review",2023,TR003778,1U18TR003778-01,phs002544.v1.p1,RADx-rad,Exosome,2.5,"The publication abstract describes the use of acoustic tweezers for single-cell analysis, which is a related technology to the grant's focus on acoustofluidic separation (AFS) for exosome isolation. However, the publication does not specifically address the detection of SARS-CoV-2 or its application to COVID-19 diagnostics, which are central to the funding opportunity. While the technologies are similar, the publication's focus is broader and does not directly align with the grant's objectives.","The publication abstract discusses the use of acoustic tweezers for high-throughput single-cell analysis, which is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of technologies for the detection of SARS-CoV-2 using single extracellular vesicle, exosome, and extracellular RNA (exRNA) isolation and analysis, whereas the publication abstract presents a method for manipulating single cells using acoustic tweezers. Although the grant abstract mentions the use of Acoustofluidic Separation (AFS) for label-free, high yield and purity exosomes, the publication abstract does not specifically address this topic or its application to SARS-CoV-2 detection. Therefore, the publication is not strongly related to the funding opportunity or the grant abstract."
37486097_phs002600.v1.p1,37486097,PMC11014742,doi:10.1094/PHYTO-04-23-0134-R,A Metabolomics Assay to Diagnose Citrus Huanglongbing Disease and to Aid in Assessment of Treatments to Prevent or Cure Infection.,Citrus|Citrus sinensis|Hemiptera|Liberibacter|Plant Diseases|Rhizobiaceae|Trees|citrus|huanglongbing|mass spectrometry|metabolomics|plant diagnostics,"McCartney, Mitchell M|Eze, Michael O|Borras, Eva|Edenfield, Michael|Batuman, Ozgur|Manker, Denise C|da Graça, John V|Ebeler, Susan E|Davis, Cristina E",Phytopathology,Journal Article,2024,TR003795,1U18TR003795-01,phs002600.v1.p1,RADx-rad,SCENT,1.0,"The publication abstract focuses on a metabolomics assay for diagnosing citrus Huanglongbing disease, which is unrelated to the funding opportunity and grant abstract that aim to develop a portable GC detector for COVID-19 diagnostics. The publication does not address COVID-19, VOCs, or any technologies related to the SCENT initiative.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of diagnostic technologies for COVID-19, specifically using volatile organic compounds (VOCs) and portable sensing devices. In contrast, the publication abstract discusses a metabolomics assay for diagnosing Citrus Huanglongbing disease, which is unrelated to COVID-19 or VOC-based diagnostics. Therefore, there is no connection between the publication and the research objectives outlined in the funding opportunity and grant abstract."
37551930_phs002549.v1.p1,37551930,PMC11218199,doi:10.1039/d3lc00545c,Programmable magnetic robot (ProMagBot) for automated nucleic acid extraction at the point of need.,Magnetic Phenomena|Magnetics|Nucleic Acid Amplification Techniques|Nucleic Acids|Robotics,"Politza, Anthony J|Liu, Tianyi|Guan, Weihua",Lab on a chip,"Journal Article|Research Support, N.I.H., Extramural|Research Support, U.S. Gov't, Non-P.H.S.",2023,HD105610,1R61HD105610-01,phs002549.v1.p1,RADx-rad,PreVAIL kIds,2.5,"The publication abstract describes a programmable magnetic robot (ProMagBot) designed for automated nucleic acid extraction at the point of need. While this technology could potentially be used for sample preparation in COVID-19 testing, it does not directly address the specific objectives outlined in the funding opportunity and grant abstract, which focus on developing biomarkers and biosignatures for predicting disease severity in children with SARS-CoV-2 infection. The publication's focus on nucleic acid extraction is a supporting technology but does not align with the primary goals of the grant, which emphasize the development of diagnostic and prognostic tools for MIS-C and severe COVID-19 in children.","The publication abstract describes a programmable magnetic robot (ProMagBot) for automated nucleic acid extraction at the point of need, which is related to the general topic of diagnostics and testing. However, it does not specifically address the research objectives of the funding opportunity, which focuses on developing novel approaches to characterize the spectrum of SARS-CoV-2 associated illness in children, including the multisystem inflammatory syndrome in children (MIS-C), and identifying biomarkers and/or biosignatures for a prognostic algorithm to predict disease severity. The grant abstract, on the other hand, is directly related to the funding opportunity, as it proposes a project to develop a diagnostic modality to distinguish the varying phenotypes of disease and risk-stratify disease in children with SARS-CoV-2 infection. The publication abstract, while relevant to the broader field of diagnostics, does not align with the specific objectives of the funding opportunity or the grant abstract."
